user_id,initial_access,weekday,access_time,user_age,viewed_screens,screen_count,played_game,premium_features_used,subscription_status,subscription_date,engagement_score,device_type,os_version,location,referral_source,session_duration,purchases,total_spend,retention_days,customer_segment
77,2023-09-28,4,12:30,50,"discover,messages",6,1,0,1,2023-10-08,86,desktop,Windows 11,Europe,paid_ad,465,2,63.17,163,basic
78,2023-08-03,6,11:32,61,"discover,friends,settings",19,1,1,1,2023-08-11,30,desktop,Windows 11,South America,email,181,0,0.0,224,premium
79,2023-09-09,1,20:09,49,"profile,home,analytics,messages,help,search",16,0,1,1,2023-10-05,36,desktop,Android 12,Asia,paid_ad,684,3,29.53,223,premium
80,2023-07-09,6,05:08,55,"discover,search,groups,library,help,messages,checkout,analytics",7,1,0,0,,36,tablet,iOS 17,North America,organic,1742,1,78.3,116,premium
81,2023-10-23,5,00:43,37,"analytics,search,help,groups,friends",4,0,0,1,2023-11-16,75,tablet,macOS 14,North America,social_media,373,1,23.82,293,enterprise
82,2023-08-01,1,04:31,27,"home,feed,search,profile,messages,checkout,notifications,friends,calendar",18,0,1,1,2023-08-17,65,mobile,iOS 17,Africa,email,221,1,29.84,342,enterprise
83,2023-07-27,6,00:01,32,"messages,settings,search,home",10,0,0,1,2023-08-09,97,mobile,Windows 11,Oceania,email,385,4,66.99,48,enterprise
84,2023-08-25,4,13:01,32,"messages,analytics,checkout,home",2,1,1,0,,91,tablet,iOS 17,Asia,organic,704,4,337.02,262,premium
85,2023-12-04,1,04:09,23,"checkout,help,library,messages,search,profile,home,settings",18,0,1,1,2023-12-18,46,tablet,Android 13,South America,social_media,317,4,355.24,324,enterprise
86,2023-02-22,4,19:37,42,"analytics,profile,feed,messages,home",4,1,1,0,,39,desktop,Android 12,Asia,paid_ad,1222,4,102.21,298,basic
87,2023-10-07,3,04:01,18,"profile,help,friends,library,discover,checkout,settings,groups",8,0,0,1,2023-11-03,16,tablet,Android 13,Africa,social_media,1096,2,104.41,78,enterprise
88,2023-08-05,2,08:41,23,library,11,0,0,0,,81,mobile,Android 13,Africa,social_media,856,3,156.63,277,premium
89,2023-09-09,1,07:24,30,"checkout,groups,messages,analytics,library",12,0,1,0,,91,mobile,iOS 17,South America,social_media,1289,1,95.49,220,basic
90,2023-07-07,4,05:36,28,"checkout,discover,profile,notifications,messages,help,friends,settings",3,0,0,0,,84,mobile,Windows 11,North America,organic,785,2,197.48,149,basic
91,2023-02-10,1,20:17,41,"discover,groups,friends,library,feed,notifications,checkout,analytics",6,0,0,1,2023-03-10,39,tablet,Windows 11,South America,email,213,3,6.64,346,premium
92,2023-06-06,5,19:49,37,"feed,analytics,messages,friends,search,library,help",4,0,1,1,2023-06-27,33,mobile,macOS 14,North America,paid_ad,35,1,15.45,283,basic
93,2023-01-15,2,01:43,43,"checkout,search,profile",18,0,1,0,,10,mobile,Windows 11,Oceania,email,1029,0,0.0,121,free_tier
94,2023-10-28,3,07:03,42,"settings,analytics,groups,home,discover,search,checkout",13,1,0,0,,39,mobile,iOS 16,Oceania,paid_ad,176,0,0.0,299,free_tier
95,2023-03-06,0,19:54,29,"checkout,home,library",3,0,1,0,,6,mobile,iOS 17,South America,email,814,0,0.0,293,basic
96,2023-12-11,0,03:08,63,"friends,messages,calendar,library,search,feed",4,0,1,0,,62,mobile,iOS 17,South America,organic,1068,4,357.27,227,free_tier
97,2023-11-23,1,08:11,26,"discover,groups,search,home,settings,feed,library,friends,analytics",12,0,1,0,,35,desktop,Android 12,Oceania,email,1033,1,78.33,85,premium
98,2023-01-09,4,13:34,62,"settings,calendar,feed,analytics,notifications,groups,profile,home",15,1,0,1,2023-01-24,91,mobile,Android 12,South America,organic,1450,0,0.0,136,enterprise
99,2023-12-10,5,05:46,53,"feed,help,search,analytics",11,1,1,1,2024-01-06,5,desktop,Android 13,South America,email,1000,3,146.98,319,free_tier
100,2023-05-09,2,22:50,26,"checkout,search,discover,settings,library",11,1,1,1,2023-05-17,13,mobile,iOS 17,Asia,social_media,1005,4,94.62,243,free_tier
101,2023-05-16,3,03:00,50,"feed,settings,notifications,calendar",11,1,0,0,,17,desktop,Windows 11,Oceania,email,1197,3,116.89,16,free_tier
102,2023-03-04,3,08:54,57,"feed,analytics,calendar,notifications,library,help",13,1,1,0,,58,tablet,iOS 16,Africa,friend,1581,3,200.93,208,enterprise
103,2023-05-19,6,15:54,51,"friends,calendar,library,discover,messages,analytics,checkout,notifications",15,1,0,1,2023-05-20,23,tablet,Windows 11,North America,paid_ad,615,2,86.09,18,basic
104,2023-03-22,3,08:43,41,"help,analytics,profile,friends,home,library",15,1,1,1,2023-04-20,80,mobile,iOS 16,South America,social_media,958,0,0.0,358,enterprise
105,2023-06-12,0,13:14,62,"checkout,profile,calendar,search,groups",17,0,1,0,,75,tablet,iOS 16,North America,organic,401,2,26.06,120,enterprise
106,2023-10-16,2,21:23,62,"analytics,calendar,settings,home,friends,groups,library,help,feed",1,1,1,1,2023-10-24,62,mobile,Android 12,Oceania,friend,1129,3,265.93,114,premium
107,2023-09-18,6,20:47,50,"friends,groups,settings,analytics,checkout,home,profile",6,0,0,0,,41,desktop,iOS 16,Asia,social_media,1575,2,53.63,168,free_tier
108,2023-08-19,0,07:27,50,"settings,friends,analytics",7,0,1,0,,71,desktop,macOS 14,Oceania,social_media,586,2,67.78,271,free_tier
109,2023-02-10,1,09:45,46,"friends,help",14,0,1,0,,43,desktop,Android 12,South America,paid_ad,988,0,0.0,35,free_tier
110,2023-01-28,3,16:34,55,"help,discover,groups,profile,settings",1,0,0,0,,69,desktop,Android 13,Asia,friend,1056,2,169.27,261,enterprise
111,2023-05-15,2,03:47,30,"profile,library,friends,feed,calendar",6,0,1,1,2023-05-31,34,desktop,iOS 16,North America,friend,403,2,161.6,187,enterprise
112,2023-07-20,3,13:58,35,"calendar,settings,feed,notifications,profile,search",18,1,1,0,,94,mobile,Windows 11,Asia,social_media,373,1,4.44,89,premium
113,2023-11-24,0,23:45,52,groups,9,1,0,0,,69,mobile,iOS 17,Asia,organic,1135,4,80.05,168,basic
114,2023-09-25,0,15:39,64,"groups,notifications,friends,calendar,feed",2,1,0,0,,37,mobile,Android 12,North America,social_media,1513,1,53.16,235,enterprise
115,2023-02-02,0,17:06,19,"discover,library,help,checkout,settings,notifications,calendar",17,1,1,0,,9,mobile,iOS 17,Oceania,paid_ad,1024,2,126.12,51,basic
116,2023-02-17,3,02:37,42,"library,friends,home,calendar,checkout,analytics,search,help,messages",11,1,0,0,,3,mobile,Android 12,Asia,friend,552,1,44.11,299,basic
117,2023-03-03,2,19:15,23,"messages,checkout,profile",19,0,1,1,2023-03-26,91,mobile,macOS 14,North America,social_media,1434,3,111.14,269,premium
118,2023-08-04,2,21:35,42,"profile,notifications,messages,feed,search,home,discover",13,0,0,1,2023-08-25,48,desktop,Android 13,Africa,paid_ad,57,0,0.0,131,premium
119,2023-10-20,1,18:01,37,"analytics,notifications,feed,library,discover,messages,checkout",16,1,0,1,2023-10-25,80,desktop,iOS 17,Asia,email,862,3,142.99,48,enterprise
120,2023-04-09,3,03:57,31,"analytics,friends,home,groups,settings,checkout,discover",12,0,0,0,,25,tablet,Windows 11,Europe,email,1106,2,44.8,316,enterprise
121,2023-06-21,1,01:06,21,"analytics,calendar,search,library",9,1,0,0,,39,desktop,Windows 11,Europe,organic,285,2,154.58,90,free_tier
122,2023-12-26,5,14:48,25,"home,checkout,feed",8,1,0,1,2023-12-27,25,mobile,Windows 11,South America,email,1497,1,64.06,56,enterprise
123,2023-08-02,1,13:42,51,home,14,0,1,1,2023-08-18,19,mobile,Android 13,Oceania,email,1034,1,76.64,275,free_tier
124,2023-02-04,1,16:36,45,"checkout,messages,help,search,settings,analytics",18,1,0,1,2023-02-20,57,tablet,Android 13,Asia,organic,1601,1,61.42,147,free_tier
125,2023-08-15,1,22:13,19,"analytics,settings,search,calendar",9,1,1,1,2023-08-21,90,desktop,Android 13,Asia,organic,514,0,0.0,135,basic
126,2023-04-11,0,16:31,34,"calendar,library,profile,messages,checkout,discover,notifications,search",12,1,1,1,2023-04-29,23,mobile,Android 13,North America,paid_ad,1475,3,10.22,89,enterprise
127,2023-05-11,5,19:52,21,"profile,discover,friends,analytics,notifications,feed",17,1,0,1,2023-05-31,98,desktop,Android 13,Europe,social_media,225,4,274.45,208,free_tier
128,2023-09-14,6,01:38,51,"profile,help,calendar,home,feed,groups",15,0,0,1,2023-09-21,64,tablet,iOS 17,Africa,social_media,1175,0,0.0,107,premium
129,2023-01-05,1,03:39,44,"calendar,groups,home,help,settings,checkout,messages,library",19,0,0,1,2023-01-28,71,mobile,Android 12,Europe,social_media,1774,1,27.5,177,basic
130,2023-08-06,2,00:41,36,"messages,discover,groups,checkout,library",10,0,1,1,2023-09-01,55,desktop,Windows 11,South America,social_media,427,2,118.02,354,basic
131,2023-09-12,1,00:32,45,"notifications,settings,friends,home,feed,calendar,profile,search",4,1,0,0,,10,desktop,iOS 17,North America,organic,1568,0,0.0,86,free_tier
132,2023-12-25,0,03:48,55,notifications,5,0,1,0,,64,mobile,iOS 17,North America,paid_ad,1354,0,0.0,205,free_tier
133,2023-10-10,4,04:13,51,"discover,messages",7,0,1,0,,49,desktop,macOS 14,North America,paid_ad,1634,4,147.22,292,enterprise
134,2023-07-26,6,05:06,49,"feed,analytics,calendar,library,friends,messages,profile,discover",19,1,1,1,2023-08-10,48,desktop,macOS 14,South America,social_media,217,0,0.0,341,basic
135,2023-01-15,5,07:23,58,settings,12,0,0,0,,82,desktop,Android 13,Asia,organic,823,2,37.95,326,free_tier
136,2023-12-12,4,17:59,48,"help,home,analytics,library,friends",5,0,1,1,2023-12-16,14,desktop,macOS 14,Oceania,email,1176,2,153.66,337,enterprise
137,2023-02-11,4,03:54,23,"friends,discover,messages,profile,library",1,0,1,1,2023-03-07,30,mobile,iOS 17,Africa,organic,1415,0,0.0,122,premium
138,2023-06-28,5,02:27,23,"home,notifications",5,1,1,0,,95,mobile,Android 13,Oceania,social_media,51,3,32.71,255,free_tier
139,2023-03-04,3,22:35,45,"notifications,feed",19,0,0,0,,64,tablet,Android 13,South America,organic,619,3,82.95,154,basic
140,2023-12-18,6,22:47,25,library,16,1,1,0,,60,mobile,iOS 17,Oceania,email,50,4,330.08,54,enterprise
141,2023-08-19,6,12:21,18,"checkout,help,profile,groups",13,1,0,1,2023-08-22,18,mobile,Android 13,North America,organic,1023,2,108.1,45,free_tier
142,2023-08-29,2,22:42,33,"analytics,profile,friends,discover,notifications,checkout",7,0,1,0,,10,mobile,Android 13,Africa,organic,1758,1,99.17,147,enterprise
143,2023-02-21,0,23:42,59,"library,analytics,messages",3,0,1,0,,60,tablet,Windows 11,Europe,email,1146,0,0.0,152,free_tier
144,2023-04-06,5,04:51,36,"messages,discover,friends,profile",12,0,1,1,2023-04-19,67,tablet,iOS 17,Europe,organic,1675,3,145.33,177,premium
145,2023-08-10,4,00:13,35,"discover,groups,checkout,analytics,profile,help,notifications,home",1,0,1,1,2023-08-19,4,mobile,iOS 16,North America,social_media,1699,2,184.4,135,basic
146,2023-08-19,0,23:21,47,"friends,analytics",19,0,1,1,2023-09-01,34,desktop,iOS 17,Africa,organic,167,0,0.0,86,basic
147,2023-08-25,0,19:50,33,"analytics,profile,checkout,home,settings,feed,notifications,help,friends",15,1,0,1,2023-09-06,72,tablet,Android 13,Asia,friend,1797,2,120.77,119,enterprise
148,2023-05-23,3,04:51,50,"search,discover,settings,checkout,home,feed",19,1,1,0,,53,mobile,Android 12,South America,friend,915,0,0.0,321,enterprise
149,2023-06-20,4,22:05,45,"analytics,messages,groups,calendar,settings,feed,checkout,library,search",18,0,1,1,2023-07-05,40,tablet,Android 12,North America,paid_ad,1396,4,88.4,133,enterprise
150,2023-01-29,1,18:11,64,messages,10,0,0,1,2023-02-05,2,tablet,Android 13,Asia,organic,1552,0,0.0,319,basic
151,2023-02-05,0,13:16,33,"help,home,profile,checkout",10,1,1,0,,63,mobile,Windows 11,Europe,email,1434,4,296.32,236,basic
152,2023-01-13,4,06:20,28,"messages,settings,friends,profile,analytics,notifications,search",19,1,0,0,,34,tablet,Windows 11,Africa,social_media,1518,1,72.93,333,basic
153,2023-06-09,6,00:48,23,"help,messages,settings,checkout,analytics,home,feed,discover,library",10,1,0,1,2023-06-16,69,tablet,iOS 16,Europe,email,1315,0,0.0,35,premium
154,2023-11-23,0,05:03,31,library,12,1,0,0,,54,tablet,iOS 17,Oceania,social_media,981,2,85.25,324,free_tier
155,2023-07-06,3,13:07,53,notifications,4,1,0,0,,71,desktop,iOS 17,Europe,social_media,1293,3,192.84,151,premium
156,2023-08-31,3,17:51,39,"library,checkout,help",9,1,0,0,,56,mobile,iOS 16,Europe,friend,52,0,0.0,48,free_tier
157,2023-03-27,1,12:07,57,"analytics,search,profile,feed,groups,library",12,0,0,0,,64,mobile,Windows 11,Asia,friend,1101,4,30.35,157,free_tier
158,2023-10-11,3,23:47,40,"help,discover,home,profile,search",19,1,0,1,2023-10-27,77,desktop,Android 12,South America,social_media,1005,4,207.72,300,enterprise
159,2023-03-07,4,04:02,48,"notifications,checkout,home,friends,calendar",19,0,0,0,,83,desktop,Android 12,Oceania,friend,1763,2,86.38,351,premium
160,2023-06-19,5,12:14,45,"notifications,analytics,checkout,library,help,settings,messages,home,calendar",7,0,1,1,2023-07-02,10,desktop,Android 13,South America,organic,928,2,89.35,18,premium
161,2023-02-14,3,03:34,36,"help,search,checkout",19,0,1,1,2023-02-19,30,mobile,macOS 14,Oceania,paid_ad,175,3,215.88,114,premium
162,2023-03-03,5,01:35,39,"profile,groups,search,notifications,messages",15,0,1,1,2023-03-28,13,tablet,macOS 14,North America,organic,549,0,0.0,76,premium
163,2023-05-14,1,05:03,18,"home,discover,notifications,checkout,analytics,search,settings",10,0,1,1,2023-06-12,16,tablet,iOS 16,Europe,social_media,1153,1,87.5,151,basic
164,2023-10-11,6,16:29,20,"discover,analytics",4,0,1,0,,18,tablet,Android 12,South America,organic,1400,2,55.49,42,premium
165,2023-01-28,2,06:17,25,"groups,help,discover,analytics,profile,messages,calendar",5,1,0,1,2023-02-06,90,desktop,Windows 11,Europe,social_media,1512,1,21.26,163,basic
166,2023-04-18,0,21:09,30,feed,4,0,0,0,,69,mobile,iOS 17,South America,social_media,1601,2,175.69,277,basic
167,2023-02-13,0,16:28,18,"settings,analytics,messages,profile,help,checkout,search",9,1,0,1,2023-03-06,24,desktop,Windows 11,Africa,organic,1716,2,68.81,64,basic
168,2023-12-06,4,22:03,46,"help,friends",19,0,0,1,2023-12-24,18,mobile,iOS 16,Africa,organic,1029,0,0.0,134,free_tier
169,2023-10-13,1,18:25,30,"settings,feed,discover,checkout,friends,calendar,notifications",9,1,0,0,,97,desktop,Android 13,Europe,organic,993,2,43.58,244,enterprise
170,2023-11-27,1,06:12,59,"home,groups,help",19,1,1,0,,39,tablet,macOS 14,Africa,paid_ad,1392,2,61.69,363,enterprise
171,2023-05-08,1,02:39,46,"settings,notifications,checkout,profile,search",14,1,1,1,2023-05-11,100,mobile,Windows 11,Asia,paid_ad,1240,2,177.43,353,basic
172,2023-12-14,0,10:15,47,"library,search,friends,discover,settings,feed,messages,analytics,checkout",6,0,0,0,,11,mobile,Windows 11,Asia,email,1184,1,75.01,340,basic
173,2023-08-19,3,19:50,33,calendar,15,0,0,0,,72,mobile,iOS 16,Africa,organic,1322,2,99.91,193,enterprise
174,2023-07-09,0,22:22,58,"groups,notifications,settings,search,friends,help",11,0,1,1,2023-07-30,34,mobile,iOS 16,Africa,social_media,1239,2,78.5,317,basic
